Product Code,PDR,Meta keywords,Product name,Short Description,Explicacion,Qty Inventory,Price,Configurable Type,Weight Lbs,Tinta,Size,Brand,Material,Piece,Category,Subcategory_1,Subcategory_2,Main,Variant,Link Image 2,Link Image 3,Link Image 4,Product Code Option,Product Code Category
554888250,https://www.walmart.com/ip/Cook-N-Home-20-Quart-Stainless-Steel-Stockpot-and-Canning-Pot-with-Lid/48005793,"Cook,N,Home,20,Quart,Stainless,Steel,Stockpot,and,Canning,Pot,with,LidSimpleSilverStainless,Steel",Cook N Home 20 Quart Stainless Steel Stockpot and Canning Pot with Lid,"<p><strong>Features:</strong></p>
<ul>
<li>Capacity: 20-quart pot</li>
<li>Holds 7 regular canning quart jars or 8 pint jars</li>
<li>Opening diameter: 13""</li>
<li>Cooking pot made of fine quality stainless steel 18-10, with a decent gauge for strength and durability</li>
<li>Encapsulated bottom with aluminum core for even heat distribution</li>
<li>Bottom is magnetic and suitable for induction stovetops</li>
<li>Riveted handle for strength and durability</li>
<li>Reinforced rim prevents pot body deformation for long time use</li>
</ul>","<p>The Cook N Home 20 Quart Stainless Steel Stockpot Saucepot with Lid is made of mirror polished 18-10 stainless steel for durability and easy cleaning. Aluminum disc layer in bottom for even heat distribution and prevents hot spots. Tempered glass lid with steam vent to view food while cooking. Riveted handles are comfortable and stay cool. Reinforced rim for long heating and pouring. Large size for multipurpose function and can be used for canning and jarring. Induction compatible. Works on gas, electric, glass, ceramic, halogen, etc. Oven safe to 350F. Dishwasher safe. Make like a pro in the kitchen with the Cook N Home Stainless Steel Canning Pot and Stockpot. This household essential lets you prepare large amounts of soups and saucy dishes with its 20-quart capacity. It is also specially designed to accommodate seven regular canning quart jars or eight pint jars. This cooking pot is made of stainless steel and has a riveted handle for strength and durability. The reinforced rim prevents pot body deformation which usually happens with other pots after long-time use. This 20-quart pot has an encapsulated bottom with an aluminum core to ensure that heat is distributed evenly. Its magnetic bottom makes it suited for induction stovetops.</p>",5,37.99,Simple,11.2,Silver,17.5 x 13 x 9 inches,Cook N Home,Stainless Steel,2,Home & Kitchen,Cookware,Soup & Stockpots,https://i5.walmartimages.com/asr/3da04ed2-5dca-41c9-81f6-9f0a5e43e073_1.3bc440a78a6ee34ef9a545f5f046c2ed.jpeg,https://i5.walmartimages.com/asr/5cda1993-8143-4475-9f3d-ec73aec17dd4_1.a04f7f234c2968d21d0276c4d299eda8.jpeg,https://i5.walmartimages.com/asr/7deec73b-fb97-4a23-9d85-15c4046bbab1_1.12911a6801e6cefe9e012d3892a99873.jpeg,,,554888250,554888250
566727851,https://www.walmart.com/ip/Farberware-Buena-Cocina-Aluminum-Nonstick-Covered-Soup-Pot-4-Quart-Red/56245162,"Farberware,Buena,Cocina,Aluminum,Non,stick,Covered,Soup,PotSimpleRedAluminum",Farberware Buena Cocina Aluminum Non stick Covered Soup Pot,"<p><strong>Features:</strong></p>
<ul>
<li>Farberware Buena Cocina cookware makes preparing and sharing favorite meals and family recipes fresh and easy</li>
<li>Sturdy aluminum cookware construction delivers fast, even heating and balanced heat control</li>
<li>Long-lasting nonstick interior releases foods easily and cleans quickly; colorful stain-resistant exterior adds a touch of style to the kitchen</li>
<li>Shatter-resistant glass lid keeps cooking visible and the heat and moisture inside</li>
<li>Double-riveted stainless steel handle is oven safe to 500 degrees F</li>
</ul>","<p>Soups, sauces, and other favorite recipes become convenient to cook with the colorful Farberware Buena Cocina Aluminum Nonstick 4-Quart Soup Pot.&nbsp;<br /><br />Farberware Buena Cocina makes preparing and sharing favorite meals and family recipes fresh and easy. This sturdy nonstick soup pot features durable aluminum construction for quick and even heating. The colorful stain-resistant exterior gives the kitchen a touch of style, and the shatter-resistant glass lid keeps heat and moisture inside. And for efficient food release and speedy cleanup when and where it's needed most, the pan features a long-lasting nonstick interior.&nbsp;<br /><br />Step after step, generation after generation, home cooking and eating is goodness worth sharing, and Farberware helps home cooks share in that. The stainless steel pan handle is double-riveted for strength and conveniently oven safe to 500 degrees F. Use the pan to reheat delicious soups, make delicious casseroles, and more.</p>",5,41.99,Simple,2.5,Red,11.88 x 8.25 x 7.63 Inches,Farberware,Aluminum,2,Home & Kitchen,Cookware,Soup & Stockpots,https://i5.walmartimages.com/asr/5eb9f678-0ecb-40c4-ab73-df2359dd3bf4_1.29dfac2f8538bafc2d6ed2e6641f74ff.jpeg,https://i5.walmartimages.com/asr/4abeece0-7933-4833-b0ad-091a777a9bb5_1.03cc9fa30b790155bbbaab50076f94b1.jpeg,https://i5.walmartimages.com/asr/acda8fc8-c0f5-44ee-b324-6c993280de96_1.7daf2309b8d6350421c2c32b878cdeca.jpeg,,,566727851,566727851
553741211,https://www.walmart.com/ip/Farberware-Classic-Series-Stainless-Steel-12-Quart-Covered-Stockpot/10927177,"Farberware,Classic,Series,Stainless,Steel,12,Quart,Covered,StockpotSimpleSilverStainless,Steel",Farberware Classic Series Stainless Steel 12 Quart Covered Stockpot,"<div>
<div>
<div data-tl-id=""AboutThis-ShortDescription""><strong>Features:</strong></div>
<ul>
<li>This stockpot combines today's technology with traditional styling and the quality that Farberware collections have delivered for decades</li>
<li>A full cap base featuring a thick aluminum core surrounded by stainless steel provides rapid, even heating</li>
<li>Heavy-duty stainless steel is polished to a mirror finish for a classic touch</li>
<li>The comfortable handles with iconic styling provide a confident grasp</li>
<li>A self-basting lid helps seal in heat and moisture</li>
</ul>
</div>
</div>","<p>With a Farberware Classic Series Stainless Steel 12-Quart Covered Stockpot in the kitchen, it's easy to create memorable family feasts and crowd-pleasing meals. The extra-large stockpot is perfect for king crab legs for a dinner party or for simmering a huge batch of spicy chili for game day. Farberware has been trusted for over 100 years, and this stockpot continues that tradition for a new generation. A full cap base featuring a thick aluminum core surrounded by stainless steel provides rapid, even heating. Heavy-duty stainless steel is polished to a mirror finish for a classic touch, and the comfortable handles with iconic styling provide a confident grasp. This large stockpot not only works great for boiling lots of spaghetti noodles for a family get-together, it also can be used to brine a holiday turkey prior to roasting. A self-basting lid helps seal in heat and moisture, and this stockpot is dishwasher safe and oven safe to 350 degrees F.</p>",5,72.97,Simple,6.6,Silver,11.30 x 10.00 x 11.20 Inches,Farberware ,Stainless Steel,2,Home & Kitchen,Cookware,Soup & Stockpots,https://i5.walmartimages.com/asr/da6e18a9-cb66-4f8f-95aa-58496c14b52b_1.20f67adc441d4787391fc43fcd630974.jpeg,https://i5.walmartimages.com/asr/da6e18a9-cb66-4f8f-95aa-58496c14b52b_1.20f67adc441d4787391fc43fcd630974.jpeg,https://i5.walmartimages.com/asr/fece0050-d31d-436c-a68b-43309019738b_1.e5b40799709a76af37f4a82a75ee5daa.jpeg,,,553741211,553741211
553741200,https://www.walmart.com/ip/Farberware-Classic-Series-Stainless-Steel-8-Quart-Covered-Saucepot/10927176,"Farberware,Classic,Series,Stainless,Steel,8,Quart,Covered,SaucepotSimpleSilverStainless,Steel",Farberware Classic Series Stainless Steel 8 Quart Covered Saucepot,"<p><strong>Features:</strong></p>
<ul>
<li>A full cap base featuring a thick aluminum core surrounded by stainless steel provides rapid, even heating</li>
<li>Heavy gauge stainless steel is polished to a mirror finish to a stylish touch</li>
<li>The phenolic handles with iconic styling are comfortable to grasp</li>
<li>A self-basting lid helps keep food moist while sealing in flavors and nutrients</li>
<li>This stockpot is dishwasher safe and oven safe to 350 degrees F</li>
</ul>","<p>This is a pot that every kitchen needs. The perfect pasta pot, it will hold a pound or two of noodles, a whole chicken with vegetables or a New England boiled dinner of corned beef and cabbage with potatoes and carrots. And when corn is in season, this pot may never leave the stove. This Farberware Classic stockpot combines today's technology with traditional styling and the quality that Farberware has delivered for decades. The full cap base features a thick aluminum core fully surrounded by stainless steel for rapid, even heating. The domed, self-basting stainless steel lid with its eye-catching knob fits snugly inside the pot, reducing drips. The phenolic handles with their iconic styling are heat resistant on the stove top and oven safe to 350 degrees F. This stockpot is dishwasher safe for convenience. The pot's rim is rolled for drip-free pouring, and the heavy-gauge stainless steel is polished to a mirror finish.</p>",5,67.99,Simple,4.7,Silver,12.00 x 12.00 x 8.25 Inches,Farberware,Stainless Steel,2,Home & Kitchen,Cookware,Soup & Stockpots,https://i5.walmartimages.com/asr/763d5e9a-586b-45a1-b0e6-0b5b9c8c4ee8_1.b23aa73ca0c3a68715d145e719dfc5d4.jpeg,https://i5.walmartimages.com/asr/763d5e9a-586b-45a1-b0e6-0b5b9c8c4ee8_1.b23aa73ca0c3a68715d145e719dfc5d4.jpeg,https://i5.walmartimages.com/asr/c4a9b838-4903-4e2a-80ee-25d1ff4596fd_1.f83d21666c2fc003bcdaffc762226187.jpeg,,,553741200,553741200
566727814,https://www.walmart.com/ip/Farberware-Classic-Traditions-Stainless-Steel-Stack-N-Steam-Covered-Saucepot-and-Steamer-3-Quart/56244807,"Farberware,Classic,Traditions,Stainless,Steel,Stack,Covered,Saucepot,and,Steamer,3,QuartSimpleSilverStainless,Steel",Farberware Classic Traditions Stainless Steel Stack Covered Saucepot and Steamer 3 Quart,"<p><strong>Features:</strong></p>
<ul>
<li>3-Quart Covered Saucepot and Steamer Insert</li>
<li>A full cap base featuring a thick aluminum core surrounded by stainless steel provides rapid, even heating; heavy-duty stainless steel is polished to a mirror finish for a classic touch</li>
<li>The comfortable handles with iconic styling provide a confident grasp; a self-basting lid helps seal in heat and moisture</li>
<li>The covered saucepot can be used with or without the handy steamer insert</li>
<li>This stacking steamer combines today's technology with traditional styling and the quality that Farberware collections have delivered for decades</li>
</ul>","<p>The versatile Farberware Classic Traditions Stainless Steel Stack 'N' Steam 3-Quart Covered Saucepot and Steamer makes it easy to steam, simmer and heat a variety of foods.&nbsp;<br /><br />Bring water to a boil in the saucepot, and then add a dozen fressh mussels, a fistful of fresh asparagus, or homemade Chinese dumplings or tamales to the steamer basket for professional-grade results. Without the steamer insert, this is also an excellent saucepot for cooking polenta and pasta, boiling new potatoes or heating up delicious bisques and chowders. Farberware has been trusted for over 100 years, and this stacking steamer continues that tradition for a new generation. A full cap base features a thick aluminum core surrounded by stainless steel for rapid, even heating. Heavy-duty stainless steel is polished to a mirror finish for a classic touch, and this stacking steamer can be used with or without the steamer insert.</p>",5,48.59,Simple,3.7,Silver,11.25 x 7.50 x 8.63 Inches,Farberware,Stainless Steel,1,Home & Kitchen,Cookware,Soup & Stockpots,https://i5.walmartimages.com/asr/e3862dc2-4018-4dda-a2e5-7f17b17305ea_1.1f53d4152ec957428059c75f5feec1b6.jpeg,https://i5.walmartimages.com/asr/e3862dc2-4018-4dda-a2e5-7f17b17305ea_1.1f53d4152ec957428059c75f5feec1b6.jpeg,https://i5.walmartimages.com/asr/e08dbb2d-72f4-4cbd-8727-c589e7ca8245_1.acdbbfe8cf9397fa029db72a9b7af13b.jpeg,,,566727814,566727814
573599105,https://www.walmart.com/ip/Farberware-Easy-Clean-Aluminum-Nonstick-Stockpot-8-Quart-Red/595881831?selected=true,"Farberware,Easy,Clean,Aluminum,Non,stick,Stockpot,8,QuartSimpleRedAluminum",Farberware Easy Clean Aluminum Non stick Stockpot 8 Quart,"<p><strong>Features:</strong></p>
<ul>
<li>The contoured, double-riveted handles help cooks move around the kitchen with confidence.</li>
<li>Make big one-pot meals with the dishwasher safe convenience of the Farberware Easy Clean Aluminum Nonstick 8-Quart Covered Stockpot.</li>
</ul>","<p>Farberware Easy Clean Aluminum Nonstick Stockpot, 8-Quart, Red Farberware? Easy Clean Nonstick delivers the quality Farberware performance home cooks have depended on since 1900, combined with modern convenience and value. The dishwasher-safe Farberware Easy Clean Aluminum Nonstick 8-Quart Covered Stockpot is a great addition to that Farberware tradition, perfect for heating family-sized soups and chili, steaming shrimp, boiling pasta, and more. Oven safe to 350?F, the stockpot is made from heavy-duty aluminum that heats quickly and evenly, reducing hot spots that can burn foods. The pan interior features long-lasting nonstick for excellent food release, while the sleek exterior adds a touch of style to any kitchen d?cor. The glass lid features an easy-to-grasp knob, and helps retain heat and moisture inside the pan while providing a practical way to keep an eye on favorite foods as they cook.&nbsp;</p>",5,44.95,Simple,5.2,Red, 16.9 x 12.2 x 8.8 inches,Farberware,Aluminum,2,Home & Kitchen,Cookware,Soup & Stockpots,https://i5.walmartimages.com/asr/e75f4960-c97d-463b-9c3c-ae2e1e6314dc_1.02353c6a3d3b379c52d39abe0e361542.jpeg,https://i5.walmartimages.com/asr/e75f4960-c97d-463b-9c3c-ae2e1e6314dc_1.02353c6a3d3b379c52d39abe0e361542.jpeg,https://i5.walmartimages.com/asr/4e54d34a-eb89-4b8f-b79e-6d43f8c903ac_2.fc57c6b9cc75ce36011a220c41d30a22.jpeg,,,573599105,573599105
564482112,https://www.walmart.com/ip/Farberware-Dishwasher-Safe-Nonstick-Aluminum-Covered-Stockpot-10-5-Quart/55849251,"Farberware,Non,stick,Aluminum,Covered,StockpotSimpleBlueAluminum",Farberware Non stick Aluminum Covered Stockpot,"<p><strong>Features:</strong></p>
<ul>
<li>Heavy-duty construction heats fast and evenly</li>
<li>Durable top-quality nonstick interiors provide easy food release with dishwasher safe cleanup</li>
<li>Sturdy handles provide a confident grip and colorful exterior cleans easily</li>
<li>Shatter-resistant glass lid seals in heat and moisture to keep the cooking efficient</li>
<li>Oven safe to 350 degrees F</li>
</ul>","<p>This cookware is constructed from heavy-duty aluminum that heats fast and evenly to help reduce hot spots that can burn foods. The 10.5-quart stockpot is a great size for cooking a big batch of your family's favorite stew, for making corn on the cob or other delicious steamed veggies or for preparing a delicious chicken or beef stock. The stockpot interior features long-lasting top-quality nonstick for effortless food release and easy cleanup. The sturdy handles provide a confident grip and the shatter-resistant glass lid allows foods to be monitored without losing heat or moisture. Oven safe to 350 degrees Fahrenheit, this colorful nonstick cookware piece complements the skillets, sets and other items throughout the Farberware collection and with dishwasher-safe convenience built in, making mealtime happen is simplicity itself.</p>",5,64.99,Simple,5.2,Blue,16.88 x 12.25 x 8.75 Inches,Farberware,Aluminum,2,Home & Kitchen,Cookware,Soup & Stockpots,https://i5.walmartimages.com/asr/43662788-c1ba-473e-a8f2-128909510020_1.a33794bfb0eca6a353e8cb80da7ea085.jpeg,https://i5.walmartimages.com/asr/fe07b3d9-e28a-42b0-9e61-1728b3c1fb6d_1.9046dc5060eb9f3957d4bc094e76d993.jpeg,https://i5.walmartimages.com/asr/fdd7bc90-0b50-4cee-8364-132a2f8e92e5_1.bd432896ca7b1454d402215291723a62.jpeg,,,564482112,564482112
575719787,https://www.walmart.com/ip/Farberware-18-10-Stainless-Steel-4-Quart-Stock-Pot-Classic-Stainless-Steel/10927174,"Farberware,Stainless,Steel,4,Quart,Stock,Pot,Classic,Stainless,SteelSimpleSilverStainless,Steel",Farberware Stainless Steel 4 Quart Stock Pot Classic Stainless Steel,"<p><strong>Features:</strong></p>
<ul>
<li>The core is completely clad in stainless steel so, like the rest of the pot, the bottom resists corrosion and discoloring and cleans up easily.</li>
<li>Thick rolled rims add durability and make it possible to pour from the pan without dripping.</li>
<li>Because the pan comes with a domed lid that self-bastes foods it can be used for braising on the stovetop or in the oven. (The handles are oven-safe to 350 degrees F and stay cool on the stovetop.)</li>
</ul>","<p>Farberware Classic 4-Quart Covered Saucepot Functional as well as beautiful, this 4-quart saucepot is made of heavy 18/10 stainless steel polished to a mirror finish and has an aluminum core in its base that spreads heat quickly and evenly.</p>
<h2>Farberware Classic Stainless Steel</h2>
<div>
<div>
<ul>
<li>
<div>
<div><img title="""" src=""https://smedia.webcollage.net/rwvfp/wc/cp/28509405_legacycode/module/meyerus/_cp/products/1526416697520/tab-93daf2eb-88ae-4b10-9319-db250c33104e/b64fc097-fa62-4143-b87e-8c70dbe28b04.jpg.w1920.jpg"" alt="""" width=""1920"" height=""594"" data-asset-type=""image"" data-asset-url=""/_cp/products/1526416697520/tab-93daf2eb-88ae-4b10-9319-db250c33104e/b64fc097-fa62-4143-b87e-8c70dbe28b04.jpg"" data-asset-wrapper=""rich-features"" data-height=""594"" data-section-template-code=""rich-features"" data-width=""1920"" /></div>
</div>
<div>
<h3>Welcome to Farberware</h3>
<div>One of the oldest and most trusted brands in American housewares, Farberware&reg; has a rich tradition of offering quality cookware for generations. Quality, reliability and value have remained synonymous with the Farberware brand for more than a century.</div>
</div>
</li>
<li>
<div>
<div><img title=""Farberware's Classic Stainless Steel Collections"" src=""https://smedia.webcollage.net/rwvfp/wc/cp/28509405_legacycode/module/meyerus/_cp/products/1526416697520/tab-93daf2eb-88ae-4b10-9319-db250c33104e/69f34662-72f3-4449-bcaa-037a7df6256e.png.w1920.jpg"" alt="""" width=""300"" height=""300"" data-asset-title=""Farberware's Classic Stainless Steel Collections"" data-asset-type=""image"" data-asset-url=""/_cp/products/1526416697520/tab-93daf2eb-88ae-4b10-9319-db250c33104e/69f34662-72f3-4449-bcaa-037a7df6256e.png"" data-asset-wrapper=""rich-features"" data-height=""300"" data-section-template-code=""rich-features"" data-width=""300"" /></div>
</div>
<div>
<h3>Farberware's Classic Stainless Steel Collections</h3>
<div>The Farberware Classic Series combines today's technology with the traditional styling, durability, and quality that Farberware has delivered for over 100 years.</div>
</div>
</li>
</ul>
</div>
<div>
<ul>
<li>
<div>
<div><img title=""Iconic Handles &amp; Lid Knobs"" src=""https://smedia.webcollage.net/rwvfp/wc/cp/28509405_legacycode/module/meyerus/_cp/products/1526416697520/tab-93daf2eb-88ae-4b10-9319-db250c33104e/f8be5c96-486f-4dfe-aa88-3efd2e519d07.jpg.w1920.jpg"" alt="""" width=""300"" height=""300"" data-asset-title=""Iconic Handles &amp; Lid Knobs"" data-asset-type=""image"" data-asset-url=""/_cp/products/1526416697520/tab-93daf2eb-88ae-4b10-9319-db250c33104e/f8be5c96-486f-4dfe-aa88-3efd2e519d07.jpg"" data-asset-wrapper=""rich-features"" data-height=""300"" data-section-template-code=""rich-features"" data-width=""300"" /></div>
</div>
<h3>Iconic Handles &amp; Lid Knobs</h3>
<div>Time-honored handle styling with ring hook are oven safe to 350&deg; F.</div>
</li>
<li>
<div>
<div><img title=""Polished Stainless Steel Construction"" src=""https://smedia.webcollage.net/rwvfp/wc/cp/28509405_legacycode/module/meyerus/_cp/products/1526416697520/tab-93daf2eb-88ae-4b10-9319-db250c33104e/ce52ce49-d594-4a70-bcf3-ac725992711d.jpg.w1920.jpg"" alt="""" width=""300"" height=""300"" data-asset-title=""Polished Stainless Steel Construction"" data-asset-type=""image"" data-asset-url=""/_cp/products/1526416697520/tab-93daf2eb-88ae-4b10-9319-db250c33104e/ce52ce49-d594-4a70-bcf3-ac725992711d.jpg"" data-asset-wrapper=""rich-features"" data-height=""300"" data-section-template-code=""rich-features"" data-width=""300"" /></div>
</div>
<h3>Polished Stainless Steel Construction</h3>
<div>These piece feature full cap bases- aluminum cores that are fully surrounded by polished stainless steel for quick and even heat distribution and superior control.</div>
</li>
<li>
<div>
<div><img title=""Stylish Lid"" src=""https://smedia.webcollage.net/rwvfp/wc/cp/28509405_legacycode/module/meyerus/_cp/products/1526416697520/tab-93daf2eb-88ae-4b10-9319-db250c33104e/19c107e4-b2f4-4333-b290-1da3640c7d9b.jpg.w1920.jpg"" alt="""" width=""300"" height=""300"" data-asset-title=""Stylish Lid"" data-asset-type=""image"" data-asset-url=""/_cp/products/1526416697520/tab-93daf2eb-88ae-4b10-9319-db250c33104e/19c107e4-b2f4-4333-b290-1da3640c7d9b.jpg"" data-asset-wrapper=""rich-features"" data-height=""300"" data-section-template-code=""rich-features"" data-width=""300"" /></div>
</div>
<h3>Stylish Lid</h3>
<div>Bell-shaped, stainless steel lids look great in any type of kitchen!</div>
</li>
</ul>
</div>
</div>",5,41.48,Simple,3.3,Silver,10.60 x 6.50 x 10.50 Inches,Farberware,Stainless Steel,2,Home & Kitchen,Cookware,Soup & Stockpots,https://i5.walmartimages.com/asr/487d68b9-370a-4996-ab0d-f0f50ed1971d_1.22ad777e54b19b30f0b71276a23e1a13.jpeg,https://i5.walmartimages.com/asr/487d68b9-370a-4996-ab0d-f0f50ed1971d_1.22ad777e54b19b30f0b71276a23e1a13.jpeg,https://i5.walmartimages.com/asr/956177f5-cc00-48af-bad6-7b70bc704c95_1.e9f224efeded9fd02c826cde8de11576.jpeg,,,575719787,575719787
575719788,https://www.walmart.com/ip/Farberware-18-10-Stainless-Steel-4-Quart-Stock-Pot-Classic-Stainless-Steel/10927174,"Farberware,Stainless,Steel,4,Quart,Stock,Pot,Classic,Stainless,SteelSimpleSilverStainless,Steel",Farberware Stainless Steel 4 Quart Stock Pot Classic Stainless Steel,"<p><strong>Features:</strong></p>
<ul>
<li>The core is completely clad in stainless steel so, like the rest of the pot, the bottom resists corrosion and discoloring and cleans up easily.</li>
<li>Thick rolled rims add durability and make it possible to pour from the pan without dripping.</li>
<li>Because the pan comes with a domed lid that self-bastes foods it can be used for braising on the stovetop or in the oven. (The handles are oven-safe to 350 degrees F and stay cool on the stovetop.)</li>
<li>This multi-functional pot is dishwasher-safe and comes with a lifetime warranty against defects.</li>
</ul>","<p>Farberware Classic 4-Quart Covered Saucepot Functional as well as beautiful, this 4-quart saucepot is made of heavy 18/10 stainless steel polished to a mirror finish and has an aluminum core in its base that spreads heat quickly and evenly.</p>
<h2>Farberware Classic Stainless Steel</h2>
<div>
<div>
<ul>
<li>
<div>
<div><img title="""" src=""https://smedia.webcollage.net/rwvfp/wc/cp/28509405_legacycode/module/meyerus/_cp/products/1526416697520/tab-93daf2eb-88ae-4b10-9319-db250c33104e/b64fc097-fa62-4143-b87e-8c70dbe28b04.jpg.w1920.jpg"" alt="""" width=""1920"" height=""594"" data-asset-type=""image"" data-asset-url=""/_cp/products/1526416697520/tab-93daf2eb-88ae-4b10-9319-db250c33104e/b64fc097-fa62-4143-b87e-8c70dbe28b04.jpg"" data-asset-wrapper=""rich-features"" data-height=""594"" data-section-template-code=""rich-features"" data-width=""1920"" /></div>
</div>
<div>
<h3>Welcome to Farberware</h3>
<div>One of the oldest and most trusted brands in American housewares, Farberware&reg; has a rich tradition of offering quality cookware for generations. Quality, reliability and value have remained synonymous with the Farberware brand for more than a century.</div>
</div>
</li>
<li>
<div>
<div><img title=""Farberware's Classic Stainless Steel Collections"" src=""https://smedia.webcollage.net/rwvfp/wc/cp/28509405_legacycode/module/meyerus/_cp/products/1526416697520/tab-93daf2eb-88ae-4b10-9319-db250c33104e/69f34662-72f3-4449-bcaa-037a7df6256e.png.w1920.jpg"" alt="""" width=""300"" height=""300"" data-asset-title=""Farberware's Classic Stainless Steel Collections"" data-asset-type=""image"" data-asset-url=""/_cp/products/1526416697520/tab-93daf2eb-88ae-4b10-9319-db250c33104e/69f34662-72f3-4449-bcaa-037a7df6256e.png"" data-asset-wrapper=""rich-features"" data-height=""300"" data-section-template-code=""rich-features"" data-width=""300"" /></div>
</div>
<div>
<h3>Farberware's Classic Stainless Steel Collections</h3>
<div>The Farberware Classic Series combines today's technology with the traditional styling, durability, and quality that Farberware has delivered for over 100 years.</div>
</div>
</li>
</ul>
</div>
<div>
<ul>
<li>
<div>
<div><img title=""Iconic Handles &amp; Lid Knobs"" src=""https://smedia.webcollage.net/rwvfp/wc/cp/28509405_legacycode/module/meyerus/_cp/products/1526416697520/tab-93daf2eb-88ae-4b10-9319-db250c33104e/f8be5c96-486f-4dfe-aa88-3efd2e519d07.jpg.w1920.jpg"" alt="""" width=""300"" height=""300"" data-asset-title=""Iconic Handles &amp; Lid Knobs"" data-asset-type=""image"" data-asset-url=""/_cp/products/1526416697520/tab-93daf2eb-88ae-4b10-9319-db250c33104e/f8be5c96-486f-4dfe-aa88-3efd2e519d07.jpg"" data-asset-wrapper=""rich-features"" data-height=""300"" data-section-template-code=""rich-features"" data-width=""300"" /></div>
</div>
<h3>Iconic Handles &amp; Lid Knobs</h3>
<div>Time-honored handle styling with ring hook are oven safe to 350&deg; F.</div>
</li>
<li>
<div>
<div><img title=""Polished Stainless Steel Construction"" src=""https://smedia.webcollage.net/rwvfp/wc/cp/28509405_legacycode/module/meyerus/_cp/products/1526416697520/tab-93daf2eb-88ae-4b10-9319-db250c33104e/ce52ce49-d594-4a70-bcf3-ac725992711d.jpg.w1920.jpg"" alt="""" width=""300"" height=""300"" data-asset-title=""Polished Stainless Steel Construction"" data-asset-type=""image"" data-asset-url=""/_cp/products/1526416697520/tab-93daf2eb-88ae-4b10-9319-db250c33104e/ce52ce49-d594-4a70-bcf3-ac725992711d.jpg"" data-asset-wrapper=""rich-features"" data-height=""300"" data-section-template-code=""rich-features"" data-width=""300"" /></div>
</div>
<h3>Polished Stainless Steel Construction</h3>
<div>These piece feature full cap bases- aluminum cores that are fully surrounded by polished stainless steel for quick and even heat distribution and superior control.</div>
</li>
<li>
<div>
<div><img title=""Stylish Lid"" src=""https://smedia.webcollage.net/rwvfp/wc/cp/28509405_legacycode/module/meyerus/_cp/products/1526416697520/tab-93daf2eb-88ae-4b10-9319-db250c33104e/19c107e4-b2f4-4333-b290-1da3640c7d9b.jpg.w1920.jpg"" alt="""" width=""300"" height=""300"" data-asset-title=""Stylish Lid"" data-asset-type=""image"" data-asset-url=""/_cp/products/1526416697520/tab-93daf2eb-88ae-4b10-9319-db250c33104e/19c107e4-b2f4-4333-b290-1da3640c7d9b.jpg"" data-asset-wrapper=""rich-features"" data-height=""300"" data-section-template-code=""rich-features"" data-width=""300"" /></div>
</div>
<h3>Stylish Lid</h3>
<div>Bell-shaped, stainless steel lids look great in any type of kitchen!</div>
</li>
</ul>
</div>
</div>",5,41.48,Simple,4.7,Silver,10.60 x 6.50 x 10.50 Inches,Farberware,Stainless Steel,2,Home & Kitchen,Cookware,Soup & Stockpots,https://images-na.ssl-images-amazon.com/images/I/81j9ecpwp5L._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/81j9ecpwp5L._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/41TMIe5Wr5L.jpg,,,575719788,575719788
565309372,https://www.walmart.com/ip/Gotham-Steel-5-Quart-Nonstick-Pasta-Pot-with-Ti-Cerama-Copper-Coating-with-Patented-Built-in-Strainer-Lid-Twist-N-Lock-Handles-As-Seen-on-TV/820048185,"Gotham,Steel,5,Quart,Non,stick,Pasta,Pot,SimpleGrey/CopperSteel",Gotham Steel 5 Quart Non stick Pasta Pot ,"<p><strong>Features:</strong></p>
<ul>
<li>Just lift and lock and you'll get a steady pour like never before! it's that easy!</li>
<li>With the Gotham Steel copper-infused</li>
<li>Scratch-resistant surface</li>
<li>You can boil and mash potatoes in the same pot!</li>
<li>Even cheesy chili mac is no match for the Gotham Steel pasta pot's non-stick surface.</li>
</ul>","<p>Combines non-stick ceramic with super strong TitaniumTwist &amp; lock handles - stay cool to the touchAvailable in 2 sizes: 4 quart and 5 quartLarge &amp; small straining holes - let no food escape. No oil or butter needed - less CALORIES and less fat When it's time to strain, it can be such a pain. You splash and spill your pasta everywhere. Not anymore! introducing the Gotham Steel non stick pasta pot - the revolutionary pasta pot! Gotham Steel pasta pot is the revolutionary, 5-quart or 4 quart pasta pot complete with a lock-on lid that doubles as a smart strainer. The tempered glass lid has large holes on one side for draining larger foods like potatoes and ravioli, and small holes on the other for smaller foods like spaghetti and vegetables.</p>",5,49.99,Simple,3.82,Grey/Copper,14.25 x 10.05 x 7.55 Inches,Gotham Steel,Steel,2,Home & Kitchen,Cookware,Soup & Stockpots,https://i5.walmartimages.com/asr/4ce90092-d404-472d-abc0-34594edda058_1.95c8c321516076880c7079f01d7c07a1.jpeg,https://i5.walmartimages.com/asr/0ac8ca98-e8e6-4268-a8e3-00b918ef6d8d_1.c29e53a1e33c23c96e3806cba426b391.jpeg,https://i5.walmartimages.com/asr/5c0e64d7-a549-41b3-b649-4f7f60dcc76b_1.3976814f0e200910d3bacaa8b1dae1c9.jpeg,,,565309372,565309372
